,STATE, GVA_TOTAL 
0,GO,590854.5283333332
1,MG,407471.01974208653
2,PA,725228.8162500003
3,CE,586290.5229891303
4,BA,489655.5359952038
5,PR,602736.6597243099
6,SC,663804.5929830503
7,PE,660276.0532432431
8,TO,186310.98402877702
9,MA,193425.857327189
10,RN,279081.6806586828
11,PI,152546.58370535722
12,RS,592719.7047484914
13,MT,538126.9768794328
14,AC,565310.6604545454
15,SP,2378915.299441861
16,ES,1061572.252948718
17,AL,376059.09901960776
18,PB,178486.18802690587
19,MS,858670.0256962025
20,RO,673567.7830769231
21,RR,652724.6106666666
22,AM,1203193.1911290318
23,AP,822486.769375
24,SE,431652.258
25,RJ,5497954.799999998
26,DF,206351521.16
