,STATE,COMP_TOT
0,GO,670.4430894308944
1,MG,641.2684642438453
2,PA,481.8125
3,CE,723.0163043478261
4,BA,552.6906474820144
5,PR,1041.829573934837
6,SC,961.8305084745763
7,PE,671.8378378378378
8,TO,180.33093525179856
9,MA,286.6359447004608
10,RN,321.7125748502994
11,PI,195.80803571428572
12,RS,860.0704225352113
13,MT,612.1347517730496
14,AC,379.1818181818182
15,SP,2404.8263565891475
16,ES,1292.7051282051282
17,AL,365.48039215686276
18,PB,254.55605381165918
19,MS,805.6455696202531
20,RO,584.6730769230769
21,RR,393.06666666666666
22,AM,482.7741935483871
23,AP,467.1875
24,SE,397.2
25,RJ,4084.608695652174
26,DF,86200.0
