,STATE,GDP
0,GO,643095.3775609758
1,MG,531433.5888042193
2,PA,833571.5215972222
3,CE,715485.0721195649
4,BA,579093.0782733809
5,PR,672243.4265413531
6,SC,692918.0992881358
7,PE,792169.223243243
8,TO,152157.1018705036
9,MA,178103.1801382489
10,RN,332347.7780838323
11,PI,171766.81767857142
12,RS,577052.7619517099
13,MT,687867.150283688
14,AC,216227.86045454544
15,SP,2737559.211379846
16,ES,1278811.4423076927
17,AL,445615.1690196079
18,PB,245488.2444843047
19,MS,1001102.5031645568
20,RO,406847.41230769234
21,RR,128443.04066666667
22,AM,1359761.9848387095
23,AP,876590.1924999999
24,SE,457963.9201333335
25,RJ,6682954.210543477
26,DF,235497106.59
